,AGR,COA,OIG,MIN,PET,OMF,ELC,GAS,CON,SER,LAB,CAP,HOU,GOV,INV,ROW
AGR,179237563.53767356,197661.5339366725,2736.0618428913995,30721.77518557838,16314.520930782186,643207135.0391732,10913.412835665707,464.7468616435913,1354.2355069248304,89792485.34619457,0.0,0.0,230552245.03345633,41918590.00608297,104796475.01520741,41918590.00608297
COA,534695.5258643574,34780099.77944555,61545.30432422053,1672669.100122206,20622283.188997023,85648168.24879824,35182.26739854415,46514.99852418345,2017890.2687491698,90714493.25335346,0.0,0.0,0.0,0.0,0.0,-1060929.932618171
OIG,0.018136607097310634,26326.421418183494,458535.98734266625,26401.3561651247,76931696.97751841,12203586.34093548,646.6743510486314,1172.6306946977852,14344231.907300452,2733376.880561532,0.0,0.0,529975.6449601919,96359.20817458034,240898.02043645084,96359.20817458034
MIN,2089.581628039402,1378830.3253922502,15755847.037820533,8346145.189325522,177976.16375743638,159442038.59420726,10203.869987327334,23030.10024808306,0.792844791806187,23846786.268886223,0.0,0.0,2633634.1552218795,478842.57367670536,1197106.4341917634,478842.57367670536
PET,4329778.443137237,663167.2720731568,382803.39289763867,7887205.938561393,21869919.367650084,134070351.33126286,228891.38004771725,621753.4727114802,1567887.2615957113,195681621.5273848,0.0,0.0,23116447.798143543,4202990.508753371,10507476.271883428,4202990.508753371
OMF,206436282.07066315,30107771.70225522,9356832.276913507,36287361.26146295,27669997.87816278,4457545402.622645,2312036.1819223603,9425497.385872029,1477691.3947786388,2325014934.199175,0.0,0.0,1806497913.0173807,328454166.0031601,821135415.0079002,328454166.0031601
ELC,171.75349722839036,0.022072307543730192,163.55952046801846,5865.587248196904,59823.67821545984,81015387.07563965,10348268.41997909,2480.8686454481353,1443.568203870631,6015725.146155352,0.0,0.0,756174.401941564,137486.25489846617,343715.6372461654,137486.25489846617
GAS,64646.52316523017,69204.0164914841,293474.1867341736,120613.77901056323,251393.516347531,8017001.42177317,10261.686470516388,800583.5863985961,146183.9810937174,9889556.211435447,0.0,0.0,568777.6810919285,103414.12383489609,258535.30958724022,103414.12383489609
CON,150819.0831900415,30536.17350265379,21125.765660862373,92319.49530138928,837612.3466323178,5967638.969546661,92062.6419696777,132574.2761519786,11986469.260967955,30530464.78202046,0.0,0.0,17286160.395571433,3142938.2537402604,7857345.63435065,3142938.2537402604
SER,99074986.30399787,44712742.19101737,11781505.431113306,38017524.55122564,45601619.16281262,1641433158.571493,2961119.3175184084,3970501.539267154,13131004.246521754,4506808247.445671,0.0,0.0,4231847303.3499217,769426782.4272585,1923566956.068146,769426782.4272585
LAB,505111330.4580106,73863763.53921238,41744998.96319985,72770727.37635358,129176788.60429879,1896975359.273986,49688763.82540883,3403491.9251364567,21958109.048870172,4092439525.1834307,0.0,0.0,0.0,0.0,0.0,0.0
CAP,336740886.9720071,49242509.026141584,27829999.3087999,48513818.25090239,86117859.06953253,1264650239.515991,33125842.550272554,2268994.6167576383,14638739.365913449,2728293016.788954,0.0,0.0,0.0,0.0,0.0,0.0
HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6887132858.197907,3902708619.645481,0.0,0.0,0.0,0.0
GOV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688713285.8197907,0.0,0.0,0.0,0.0
INV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4476052846.365698,-459248283.5397891,0.0,-1146900639.426959
ROW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
