model,scenario,variable,year,version,filename,filesize,download_url,modified_date
EC-Earth3,ssp126,hurs,2015,v1.1,hurs_day_EC-Earth3_ssp126_r1i1p1f1_gr_2015_v1.1.nc,283.0 Mbytes,https://ds.nccs.nasa.gov/thredds/fileServer/AMES/NEX/GDDP-CMIP6/EC-Earth3/ssp126/r1i1p1f1/hurs/hurs_day_EC-Earth3_ssp126_r1i1p1f1_gr_2015_v1.1.nc,2023-08-30T11:22:03.864Z
EC-Earth3,ssp126,hurs,2016,v1.1,hurs_day_EC-Earth3_ssp126_r1i1p1f1_gr_2016_v1.1.nc,283.4 Mbytes,https://ds.nccs.nasa.gov/thredds/fileServer/AMES/NEX/GDDP-CMIP6/EC-Earth3/ssp126/r1i1p1f1/hurs/hurs_day_EC-Earth3_ssp126_r1i1p1f1_gr_2016_v1.1.nc,2023-08-30T11:22:13.763Z
EC-Earth3,ssp126,hurs,2017,v1.1,hurs_day_EC-Earth3_ssp126_r1i1p1f1_gr_2017_v1.1.nc,282.7 Mbytes,https://ds.nccs.nasa.gov/thredds/fileServer/AMES/NEX/GDDP-CMIP6/EC-Earth3/ssp126/r1i1p1f1/hurs/hurs_day_EC-Earth3_ssp126_r1i1p1f1_gr_2017_v1.1.nc,2023-08-30T11:22:24.514Z
EC-Earth3,ssp126,hurs,2018,v1.1,hurs_day_EC-Earth3_ssp126_r1i1p1f1_gr_2018_v1.1.nc,282.6 Mbytes,https://ds.nccs.nasa.gov/thredds/fileServer/AMES/NEX/GDDP-CMIP6/EC-Earth3/ssp126/r1i1p1f1/hurs/hurs_day_EC-Earth3_ssp126_r1i1p1f1_gr_2018_v1.1.nc,2023-08-30T11:22:34.316Z
EC-Earth3,ssp126,hurs,2019,v1.1,hurs_day_EC-Earth3_ssp126_r1i1p1f1_gr_2019_v1.1.nc,282.6 Mbytes,https://ds.nccs.nasa.gov/thredds/fileServer/AMES/NEX/GDDP-CMIP6/EC-Earth3/ssp126/r1i1p1f1/hurs/hurs_day_EC-Earth3_ssp126_r1i1p1f1_gr_2019_v1.1.nc,2023-08-30T11:22:45.197Z
EC-Earth3,ssp126,hurs,2020,v1.1,hurs_day_EC-Earth3_ssp126_r1i1p1f1_gr_2020_v1.1.nc,283.9 Mbytes,https://ds.nccs.nasa.gov/thredds/fileServer/AMES/NEX/GDDP-CMIP6/EC-Earth3/ssp126/r1i1p1f1/hurs/hurs_day_EC-Earth3_ssp126_r1i1p1f1_gr_2020_v1.1.nc,2023-08-30T11:22:56.175Z
EC-Earth3,ssp126,hurs,2021,v1.1,hurs_day_EC-Earth3_ssp126_r1i1p1f1_gr_2021_v1.1.nc,282.8 Mbytes,https://ds.nccs.nasa.gov/thredds/fileServer/AMES/NEX/GDDP-CMIP6/EC-Earth3/ssp126/r1i1p1f1/hurs/hurs_day_EC-Earth3_ssp126_r1i1p1f1_gr_2021_v1.1.nc,2023-08-30T11:23:07.101Z
EC-Earth3,ssp126,hurs,2022,v1.1,hurs_day_EC-Earth3_ssp126_r1i1p1f1_gr_2022_v1.1.nc,282.9 Mbytes,https://ds.nccs.nasa.gov/thredds/fileServer/AMES/NEX/GDDP-CMIP6/EC-Earth3/ssp126/r1i1p1f1/hurs/hurs_day_EC-Earth3_ssp126_r1i1p1f1_gr_2022_v1.1.nc,2023-08-30T11:23:17.896Z
EC-Earth3,ssp126,hurs,2023,v1.1,hurs_day_EC-Earth3_ssp126_r1i1p1f1_gr_2023_v1.1.nc,282.5 Mbytes,https://ds.nccs.nasa.gov/thredds/fileServer/AMES/NEX/GDDP-CMIP6/EC-Earth3/ssp126/r1i1p1f1/hurs/hurs_day_EC-Earth3_ssp126_r1i1p1f1_gr_2023_v1.1.nc,2023-08-30T11:23:27.609Z
EC-Earth3,ssp126,hurs,2024,v1.1,hurs_day_EC-Earth3_ssp126_r1i1p1f1_gr_2024_v1.1.nc,283.1 Mbytes,https://ds.nccs.nasa.gov/thredds/fileServer/AMES/NEX/GDDP-CMIP6/EC-Earth3/ssp126/r1i1p1f1/hurs/hurs_day_EC-Earth3_ssp126_r1i1p1f1_gr_2024_v1.1.nc,2023-08-30T11:23:37.781Z
